"Names";"RAJ2000";"DEJ2000";"constellation";"constellation_short"
"CG1 DN";"07 19 01";"-44 34 35";"Puppis";"Pup"
"CG2 DN";"07 16 00";"-43 57 41";"Puppis";"Pup"
"CG3 DN";"07 39 14";"-47 51 57";"Puppis";"Pup"
"CG4 DN";"07 34 09";"-46 54 19";"Puppis";"Pup"
"CG5 DN";"07 40 51";"-43 49 09";"Puppis";"Pup"
"CG6 DN";"07 30 33";"-46 43 40";"Puppis";"Pup"
"CG7 DN";"09 14 07";"-42 30 04";"Vela";"Vel"
"CG7S DN";"02 34 39";"+61 23 18";"Cassiopeia";"Cas"
"CG8 DN";"07 42 39";"-41 15 58";"Puppis";"Pup"
"CG9 DN";"07 40 47";"-41 26 57";"Puppis";"Pup"
"CG10 DN";"07 42 30";"-42 05 10";"Puppis";"Pup"
"CG11 DN";"19 40 38";"-34 47 36";"Sagittarius";"Sgr"
"CG12 DN";"13 57 36";"-39 59 36";"Centaurus";"Cen"
"CG13 DN";"07 14 12";"-48 29 10";"Puppis";"Pup"
"CG14 DN";"07 38 33";"-49 52 55";"Puppis";"Pup"
"CG15 DN";"07 32 24";"-50 46 30";"Puppis";"Pup"
"CG16 DN";"07 27 47";"-51 05 11";"Carina";"Car"
"CG17 DN";"08 52 35";"-51 51 53";"Vela";"Vel"
"CG18 DN";"08 52 38";"-50 40 05";"Vela";"Vel"
"CG19 DN";"12 45 40";"-55 25 23";"Centaurus";"Cen"
"CG20 DN";"12 40 54";"-69 52 15";"Musca";"Mus"
"CG21 DN";"12 37 08";"-69 59 54";"Musca";"Mus"
"CG22 DN";"08 28 46";"-33 45 50";"Pyxis";"Pyx"
"CG24 DN";"08 19 15";"-42 54 47";"Puppis";"Pup"
"CG25 DN";"07 37 22";"-47 56 32";"Puppis";"Pup"
"CG26 DN";"08 15 50";"-33 50 16";"Puppis";"Pup"
"CG27 DN";"08 12 25";"-33 45 39";"Puppis";"Pup"
"CG28 DN";"08 12 21";"-33 56 15";"Puppis";"Pup"
"CG29 DN";"08 12 22";"-34 01 03";"Puppis";"Pup"
"CG30 DN";"08 09 33";"-36 04 57";"Puppis";"Pup"
"CG31 DN";"08 08 56";"-35 59 21";"Puppis";"Pup"
"CG31A DN";"08 09 02";"-36 01 10";"Puppis";"Pup"
"CG31B DN";"08 08 48";"-36 03 12";"Puppis";"Pup"
"CG31C DN";"08 08 33";"-35 59 34";"Puppis";"Pup"
"CG31D DN";"08 08 16";"-36 01 47";"Puppis";"Pup"
"CG32 DN";"08 14 21";"-34 30 53";"Puppis";"Pup"
"CG33 DN";"08 15 28";"-34 04 45";"Puppis";"Pup"
"CG34 DN";"07 29 32";"-41 10 30";"Puppis";"Pup"
"CG36 DN";"08 37 18";"-36 37 55";"Pyxis";"Pyx"
"CG37 DN";"08 12 28";"-33 05 35";"Puppis";"Pup"
"CG38 DN";"08 09 39";"-36 10 35";"Puppis";"Pup"
